===== TILESET outdoor
  ID |  ID | BASE |  SOUND | SOLID | PATH | SHORE |  BOAT | FLY | OPAQUE |  FOREST | TM | BATTLE EXPANSION           | BATTLE EXPANSION                   
  00 |   0 |      |      0 |       |      |       |       |     |        |         | 00 | 00 00 00 00 00 00 00 00 00 |   0   0   0   0   0   0   0   0   0
  01 |   1 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 01 3C 9B 01 3C 9B 01 3C | 155   1  60 155   1  60 155   1  60
  02 |   2 |      |     82 |       |      | SHORE |       |     |        |         | 03 | 3C 02 9C 3C 02 9C 3C 02 9C |  60   2 156  60   2 156  60   2 156
  03 |   3 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9C 9C 9C 03 03 03 3C 3C 3C | 156 156 156   3   3   3  60  60  60
  04 |   4 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 04 04 04 9C 9C 9C |  60  60  60   4   4   4 156 156 156
  05 |   5 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9F 05 3C 9B 9B 06 9B A0 05 | 159   5  60 155 155   6 155 160   5
  06 |   6 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 06 3C 3C 05 3C 3C 9D 06 3C |   6  60  60   5  60  60 157   6  60
  07 |   7 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 07 3C 3C 08 3C 07 9E |  60  60   7  60  60   8  60   7 158
  08 |   8 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 08 9C 07 9C 9C 08 A0 9C |  60   8 156   7 156 156   8 160 156
  09 |   9 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 9E 09 9B 9D 0A 9B 09 3C | 155 158   9 155 157  10 155   9  60
  0A |  10 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9E 0A 3C 09 3C 3C 0A 3C 3C | 158  10  60   9  60  60  10  60  60
  0B |  11 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 0B 9D 9E 0C 9E 9C 3C 0B A0 |  11 157 158  12 158 156  60  11 160
  0C |  12 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 0C 9C 3C 3C 0B 3C 3C 0C |  60  12 156  60  60  11  60  60  12
  0D |  13 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 0D 0E 9C 3C 3C 0D 3C 3C 3C |  13  14 156  60  60  13  60  60  60
  0E |  14 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 9B 9D 0E 9E A0 3C 0D 0E | 155 155 157  14 158 160  60  13  14
  0F |  15 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 3C 3C 0F 0F 10 9E |  60  60  60  60  60  15  15  16 158
  10 |  16 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 0F 10 10 9D 9B A0 9C 9B |  60  15  16  16 157 155 160 156 155
  11 |  17 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 9E A0 9B 9D 11 11 12 3C | 155 158 160 155 157  17  17  18  60
  12 |  18 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 11 12 12 3C 3C 3C 3C 3C | 155  17  18  18  60  60  60  60  60
  13 |  19 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 13 14 3C 9D 9B 13 9B 9D 9F |  19  20  60 157 155  19 155 157 159
